Model,Dimension,Severity,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Understandability,0.3,30,42,0.6742857142857143,0.5960884353741497,0.6814285714285714,0.5998913221784776,-0.003802886804327943,0.302478053117013,0.7978571428571428
AraBERTv2,Understandability,0.3,30,43,0.6742857142857143,0.5960884353741497,0.6692857142857143,0.5902072039322912,0.005881231441858481,0.3030336704078231,0.7907142857142857
AraBERTv2,Understandability,0.3,30,44,0.6742857142857143,0.5960884353741497,0.68,0.5987460815047022,-0.0026576461305525267,0.30047783087009666,0.7885714285714286
AraBERTv2,Understandability,0.3,30,45,0.6742857142857143,0.5960884353741497,0.6742857142857143,0.5935373456664357,0.002551089707714005,0.29547727525280587,0.775
AraBERTv2,Understandability,0.3,30,46,0.6742857142857143,0.5960884353741497,0.6707142857142857,0.5926099161044065,0.0034785192697431855,0.3008112012445827,0.7842857142857143
Twitter-RoBERTa-Irony,Textual Accuracy,0.1,10,42,0.5635714285714286,0.49709539372539197,0.5571428571428572,0.48999257316373823,0.007102820561653733,0.09844408899229315,0.4685714285714286
Twitter-RoBERTa-Irony,Textual Accuracy,0.1,10,43,0.5635714285714286,0.49709539372539197,0.5621428571428572,0.494233662633462,0.002861731091929942,0.10135233386651156,0.47785714285714287
Twitter-RoBERTa-Irony,Textual Accuracy,0.1,10,44,0.5635714285714286,0.49709539372539197,0.565,0.4963109473501383,0.0007844463752536557,0.10047986040424604,0.47785714285714287
Twitter-RoBERTa-Irony,Textual Accuracy,0.1,10,45,0.5635714285714286,0.49709539372539197,0.5592857142857143,0.4921568869534646,0.0049385067719273645,0.10251563181619892,0.48142857142857143
Twitter-RoBERTa-Irony,Textual Accuracy,0.1,10,46,0.5635714285714286,0.49709539372539197,0.5628571428571428,0.4953635644012213,0.0017318293241706528,0.10396975425330812,0.49
Twitter-RoBERTa-Irony,Textual Accuracy,0.2,20,42,0.5635714285714286,0.49709539372539197,0.5592857142857143,0.49031582363440573,0.006779570090986231,0.20415879017013233,0.7964285714285714
Twitter-RoBERTa-Irony,Textual Accuracy,0.2,20,43,0.5635714285714286,0.49709539372539197,0.5664285714285714,0.49796509859036775,-0.0008697048649757844,0.1976152392031409,0.775
Twitter-RoBERTa-Irony,Textual Accuracy,0.2,20,44,0.5635714285714286,0.49709539372539197,0.5607142857142857,0.49319521872952693,0.0039001749958650356,0.19848771266540643,0.78
Twitter-RoBERTa-Irony,Textual Accuracy,0.2,20,45,0.5635714285714286,0.49709539372539197,0.5735714285714286,0.5025470803656082,-0.00545168664021628,0.2031409044641559,0.7921428571428571
Twitter-RoBERTa-Irony,Textual Accuracy,0.2,20,46,0.5635714285714286,0.49709539372539197,0.5671428571428572,0.49909785658281297,-0.0020024628574210057,0.19936018612767195,0.7785714285714286
Twitter-RoBERTa-Irony,Textual Accuracy,0.3,30,42,0.5635714285714286,0.49709539372539197,0.5671428571428572,0.49599720552906035,0.0010981881963316176,0.29998545877562893,0.9
Twitter-RoBERTa-Irony,Textual Accuracy,0.3,30,43,0.5635714285714286,0.49709539372539197,0.5607142857142857,0.49134849362945004,0.00574690009594192,0.297949687363676,0.8878571428571429
Twitter-RoBERTa-Irony,Textual Accuracy,0.3,30,44,0.5635714285714286,0.49709539372539197,0.5642857142857143,0.49579157180778205,0.0013038219176099153,0.2983859240948088,0.9057142857142857
Twitter-RoBERTa-Irony,Textual Accuracy,0.3,30,45,0.5635714285714286,0.49709539372539197,0.5614285714285714,0.49248528703275113,0.004610106692640836,0.297949687363676,0.8957142857142857
Twitter-RoBERTa-Irony,Textual Accuracy,0.3,30,46,0.5635714285714286,0.49709539372539197,0.5614285714285714,0.4912405303030303,0.005854863422361689,0.3010033444816054,0.8971428571428571
Twitter-RoBERTa-Irony,Completeness,0.1,10,42,0.5635714285714286,0.49709539372539197,0.5314285714285715,0.4769026072850881,0.020192786440303867,0.09801089009889988,0.585
Twitter-RoBERTa-Irony,Completeness,0.1,10,43,0.5635714285714286,0.49709539372539197,0.5392857142857143,0.48215796189301946,0.014937431832372505,0.09934437159684409,0.5935714285714285
Twitter-RoBERTa-Irony,Completeness,0.1,10,44,0.5635714285714286,0.49709539372539197,0.5357142857142857,0.4761733716475096,0.020922022077882352,0.10056672963662629,0.5957142857142858
Twitter-RoBERTa-Irony,Completeness,0.1,10,45,0.5635714285714286,0.49709539372539197,0.5421428571428571,0.4831452002596369,0.013950193465755045,0.09878875430603401,0.585
Twitter-RoBERTa-Irony,Completeness,0.1,10,46,0.5635714285714286,0.49709539372539197,0.54,0.4854069257744009,0.011688467950991044,0.10312256917435271,0.6142857142857143
Twitter-RoBERTa-Irony,Completeness,0.2,20,42,0.5635714285714286,0.49709539372539197,0.5228571428571429,0.4721287120888847,0.024966681636507282,0.20024447160795644,0.8957142857142857
Twitter-RoBERTa-Irony,Completeness,0.2,20,43,0.5635714285714286,0.49709539372539197,0.5235714285714286,0.4741995733009602,0.02289582042443178,0.1987998666518502,0.8807142857142857
Twitter-RoBERTa-Irony,Completeness,0.2,20,44,0.5635714285714286,0.49709539372539197,0.5192857142857142,0.4652591552093531,0.03183623851603884,0.2050227803089232,0.9064285714285715
