Model,Dimension,Severity,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Clean_Weighted_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Perturbed_Weighted_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Understandability,0.2,20,42,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7689001264222504,0.6590218373916561,0.7657262102399796,0.010608091685136545,0.17071688218818903,0.9560050568900127
AraBERTv2,Understandability,0.2,20,43,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7737041719342604,0.6635262645852411,0.7709425002876636,0.00610366449155153,0.17002562421786543,0.9539823008849557
AraBERTv2,Understandability,0.2,20,44,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7729456384323641,0.6622272051784165,0.7705297110809082,0.007402723898376151,0.17035933496215958,0.9554993678887485
AraBERTv2,Understandability,0.2,20,45,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7729456384323641,0.6668085712394698,0.7701126328234145,0.0028213578373228465,0.17132471247243908,0.9600505689001264
AraBERTv2,Understandability,0.2,20,46,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7711757269279393,0.6566376791755351,0.7670395276067885,0.01299224990125758,0.1710625111733508,0.9575221238938053
AraBERTv2,Understandability,0.3,30,42,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7686472819216182,0.6547208300083134,0.7657426130685472,0.014909099068479259,0.2603897264763721,0.9848293299620733
AraBERTv2,Understandability,0.3,30,43,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7694058154235145,0.658500130592987,0.7658546221789839,0.011129798483805686,0.2591502294261367,0.9825537294563843
AraBERTv2,Understandability,0.3,30,44,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7615676359039191,0.6381313979756712,0.7572240802740132,0.03149853110112144,0.2603420535129015,0.9838179519595449
AraBERTv2,Understandability,0.3,30,45,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7694058154235145,0.6482777675930868,0.7644188444083452,0.02135216148370589,0.2597223049877838,0.9855878634639696
AraBERTv2,Understandability,0.3,30,46,0.779519595448799,0.6696299290767926,0.7768087162901232,0.7620733249051833,0.6443690004336146,0.7588190204423679,0.025260928643178082,0.25998450628687203,0.9873577749683944
CAMeLBERT-Mix,Textual Accuracy,0.1,10,42,0.7577749683944375,0.6486347976153796,0.7577637460165834,0.761314791403287,0.6466627874435154,0.7595444939878199,0.0019720101718642136,0.10021234017201082,0.9089759797724399
CAMeLBERT-Mix,Textual Accuracy,0.1,10,43,0.7577749683944375,0.6486347976153796,0.7577637460165834,0.7494310998735777,0.6379525587358947,0.7484434354409993,0.010682238879484829,0.09905134354806679,0.9061946902654867
CAMeLBERT-Mix,Textual Accuracy,0.1,10,44,0.7577749683944375,0.6486347976153796,0.7577637460165834,0.7506953223767383,0.6367481137072099,0.7480752070532426,0.011886683908169715,0.09976932830234796,0.9112515802781289
CAMeLBERT-Mix,Textual Accuracy,0.1,10,45,0.7577749683944375,0.6486347976153796,0.7577637460165834,0.7519595448798989,0.6409077227128335,0.7494345313696859,0.007727074902546094,0.09978460457371564,0.9084702907711757
CAMeLBERT-Mix,Textual Accuracy,0.1,10,46,0.7577749683944375,0.6486347976153796,0.7577637460165834,0.7547408343868521,0.6453822002102794,0.7535857692915049,0.0032525974051001993,0.09987626220192175,0.9140328697850821
CAMeLBERT-Mix,Textual Accuracy,0.2,20,42,0.7577749683944375,0.6486347976153796,0.7577637460165834,0.7436156763590392,0.6279572556000189,0.73988804896567,0.02067754201536065,0.20068437695727226,0.9838179519595449
