Model,Dimension,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
CAMeLBERT-Mix,Consistency,30,44,0.728,0.3523508000686687,0.7186666666666667,0.3390665392710853,0.01328426079758338,0.3007484451315928,0.9743333333333334
CAMeLBERT-Mix,Consistency,30,45,0.728,0.3523508000686687,0.7183333333333334,0.33105847389475695,0.021292326173911746,0.29995783407709337,0.972
CAMeLBERT-Mix,Consistency,30,46,0.728,0.3523508000686687,0.7216666666666667,0.33882528933603046,0.013525510732638246,0.29995783407709337,0.9736666666666667
CAMeLBERT-Mix,Validity,10,42,0.728,0.3523508000686687,0.7303333333333333,0.36958572752468327,-0.01723492745601457,0.10077933380805444,0.8813333333333333
CAMeLBERT-Mix,Validity,10,43,0.728,0.3523508000686687,0.727,0.34819988488775766,0.004150915180911041,0.10032439275259118,0.8776666666666667
CAMeLBERT-Mix,Validity,10,44,0.728,0.3523508000686687,0.7283333333333334,0.36262911893115546,-0.010278318862486757,0.09998813197246617,0.8783333333333333
CAMeLBERT-Mix,Validity,10,45,0.728,0.3523508000686687,0.727,0.3640456062959034,-0.011694806227234678,0.09992879183479705,0.875
CAMeLBERT-Mix,Validity,10,46,0.728,0.3523508000686687,0.7226666666666667,0.3551032192414919,-0.002752419172823206,0.10056175330326766,0.8726666666666667
CAMeLBERT-Mix,Validity,20,42,0.728,0.3523508000686687,0.7236666666666667,0.35647402256390476,-0.004123222495236056,0.1998180235778147,0.9583333333333334
CAMeLBERT-Mix,Validity,20,43,0.728,0.3523508000686687,0.7223333333333334,0.35720588597205455,-0.004855085903385847,0.2001147242661603,0.9556666666666667
CAMeLBERT-Mix,Validity,20,44,0.728,0.3523508000686687,0.7243333333333334,0.3627206182621331,-0.010369818193464386,0.19916528206345438,0.9536666666666667
CAMeLBERT-Mix,Validity,20,45,0.728,0.3523508000686687,0.72,0.3595933060170804,-0.007242505948411693,0.1998378036237044,0.9556666666666667
CAMeLBERT-Mix,Validity,20,46,0.728,0.3523508000686687,0.7276666666666667,0.3585439119635135,-0.006193111894844783,0.19938286256824117,0.9516666666666667
CAMeLBERT-Mix,Validity,30,42,0.728,0.3523508000686687,0.726,0.3511274922918684,0.0012233077768002976,0.3001621963762956,0.9773333333333334
CAMeLBERT-Mix,Validity,30,43,0.728,0.3523508000686687,0.7223333333333334,0.3706809894838095,-0.018330189415140807,0.29958857504549413,0.9773333333333334
CAMeLBERT-Mix,Validity,30,44,0.728,0.3523508000686687,0.721,0.3506461289490904,0.0017046711195782827,0.3001226362845162,0.9793333333333333
CAMeLBERT-Mix,Validity,30,45,0.728,0.3523508000686687,0.723,0.3635019967221589,-0.01115119665349018,0.30061713743175883,0.98
CAMeLBERT-Mix,Validity,30,46,0.728,0.3523508000686687,0.724,0.35878281581718074,-0.006432015748512043,0.30004351610095736,0.977
CAMeLBERT-Mix,Understandability,10,42,0.728,0.3523508000686687,0.723,0.3438267046007929,0.008524095467875803,0.10064087348682649,0.717
CAMeLBERT-Mix,Understandability,10,43,0.728,0.3523508000686687,0.7193333333333334,0.3483810360425486,0.003969764026120093,0.09874198908141467,0.7016666666666667
CAMeLBERT-Mix,Understandability,10,44,0.728,0.3523508000686687,0.722,0.35281833522806727,-0.0004675351593985688,0.10083867394572356,0.7143333333333334
CAMeLBERT-Mix,Understandability,10,45,0.728,0.3523508000686687,0.7223333333333334,0.3604799345750607,-0.008129134506392022,0.09941451064166469,0.7086666666666667
CAMeLBERT-Mix,Understandability,10,46,0.728,0.3523508000686687,0.726,0.35946116981734344,-0.007110369748674739,0.10008703220191471,0.713
CAMeLBERT-Mix,Understandability,20,42,0.728,0.3523508000686687,0.724,0.35664006077098287,-0.004289260702314168,0.1998180235778147,0.8766666666666667
CAMeLBERT-Mix,Understandability,20,43,0.728,0.3523508000686687,0.7226666666666667,0.3592672393792736,-0.006916439310604872,0.19930374238468232,0.8686666666666667
CAMeLBERT-Mix,Understandability,20,44,0.728,0.3523508000686687,0.718,0.35079946396890793,0.0015513360997607695,0.20064878550518236,0.879
CAMeLBERT-Mix,Understandability,20,45,0.728,0.3523508000686687,0.719,0.35031516563304416,0.002035634435624545,0.19960044307302793,0.8743333333333333
CAMeLBERT-Mix,Understandability,20,46,0.728,0.3523508000686687,0.7176666666666667,0.36506180776379404,-0.012711007695125343,0.20049054513806472,0.874
CAMeLBERT-Mix,Understandability,30,42,0.728,0.3523508000686687,0.7153333333333334,0.3445081825042605,0.007842617564408183,0.29943033467837643,0.9206666666666666
CAMeLBERT-Mix,Understandability,30,43,0.728,0.3523508000686687,0.7153333333333334,0.35920380556246134,-0.006853005493792641,0.2997863755043912,0.9273333333333333
CAMeLBERT-Mix,Understandability,30,44,0.728,0.3523508000686687,0.7206666666666667,0.36835763771744706,-0.01600683764877836,0.299390774586597,0.9256666666666666
CAMeLBERT-Mix,Understandability,30,45,0.728,0.3523508000686687,0.7163333333333334,0.35386508368349057,-0.0015142836148218652,0.29915341403592055,0.927
CAMeLBERT-Mix,Understandability,30,46,0.728,0.3523508000686687,0.718,0.34791007200221996,0.00444072806644874,0.2997665954585015,0.929
