Model,Dimension,Severity,Severity_Percent,Perturbation_Seed,Clean_Accuracy,Clean_Macro_F1,Clean_Sarcastic_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Perturbed_Sarcastic_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Understandability,0.1,10,44,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7836666666666666,0.7085534837289167,0.5605958023019635,0.0053307544916046945,0.10083867394572356,0.7143333333333334
AraBERTv2,Understandability,0.1,10,45,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7863333333333333,0.7113548325700423,0.5642420122365738,0.0025294056504790996,0.09941451064166469,0.7086666666666667
AraBERTv2,Understandability,0.1,10,46,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.79,0.7172147115380587,0.5737483085250338,-0.0033304733175373302,0.10008703220191471,0.713
AraBERTv2,Understandability,0.2,20,42,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.788,0.7113413790620229,0.562585969738652,0.0025428591584985005,0.1998180235778147,0.8766666666666667
AraBERTv2,Understandability,0.2,20,43,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7833333333333333,0.7055375253917257,0.5541838134430727,0.008346712828795733,0.19930374238468232,0.8686666666666667
AraBERTv2,Understandability,0.2,20,44,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7906666666666666,0.7168184583861418,0.5722070844686649,-0.0029342201656203937,0.20064878550518236,0.879
AraBERTv2,Understandability,0.2,20,45,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.786,0.7097017494463834,0.560875512995896,0.00418248877413796,0.19960044307302793,0.8743333333333333
AraBERTv2,Understandability,0.2,20,46,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7933333333333333,0.720167947374724,0.5770804911323328,-0.006283709154202621,0.20049054513806472,0.874
AraBERTv2,Understandability,0.3,30,42,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.786,0.7075208152242249,0.5560165975103735,0.006363422996296442,0.29943033467837643,0.9206666666666666
AraBERTv2,Understandability,0.3,30,43,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7856666666666666,0.706926872253389,0.5550173010380622,0.006957365967132367,0.2997863755043912,0.9273333333333333
AraBERTv2,Understandability,0.3,30,44,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.788,0.7099803248706767,0.5595567867036011,0.0039039133498446343,0.299390774586597,0.9256666666666666
AraBERTv2,Understandability,0.3,30,45,0.7873333333333333,0.7138842382205214,0.5689189189189189,0.7883333333333333,0.7094721681199921,0.5581071677105081,0.004412070100529242,0.29915341403592055,0.927
