Model,Dimension,Severity,Seed,Clean_Accuracy,Clean_Macro_F1,Perturbed_Accuracy,Perturbed_Macro_F1,Delta_F1,Realized_Rate,Changed_Instance_Rate
AraBERTv2,Validity,10,46,0.6026605053046046,0.6006155672096679,0.6026605053046046,0.6006155672096679,0.0,0.10004862104475853,0.779462430274527
AraBERTv2,Validity,20,42,0.6026605053046046,0.6006155672096679,0.6026605053046046,0.6006155672096679,0.0,0.20000060398813366,0.9584791643880565
AraBERTv2,Validity,20,43,0.6026605053046046,0.6006155672096679,0.6026605053046046,0.6006155672096679,0.0,0.20000765051635952,0.958274089467352
AraBERTv2,Validity,20,44,0.6026605053046046,0.6006155672096679,0.6026605053046046,0.6006155672096679,0.0,0.2000428831574889,0.9583697910970141
AraBERTv2,Validity,20,45,0.6026605053046046,0.6006155672096679,0.6026605053046046,0.6006155672096679,0.0,0.19993416529343253,0.9583287761128733
AraBERTv2,Validity,20,46,0.6026605053046046,0.6006155672096679,0.6026605053046046,0.6006155672096679,0.0,0.2000167103383642,0.958834627583944
AraBERTv2,Validity,30,42,0.6026605053046046,0.6006155672096679,0.6026605053046046,0.6006155672096679,0.0,0.30019820877252495,0.9906075686317402
AraBERTv2,Validity,30,43,0.6026605053046046,0.6006155672096679,0.6026605053046046,0.6006155672096679,0.0,0.2998740684741347,0.9911270917641912
AraBERTv2,Validity,30,44,0.6026605053046046,0.6006155672096679,0.6026605053046046,0.6006155672096679,0.0,0.29999083951330635,0.9908126435524445
AraBERTv2,Validity,30,45,0.6026605053046046,0.6006155672096679,0.6026605053046046,0.6006155672096679,0.0,0.30002103891998866,0.9909083451821066
AraBERTv2,Validity,30,46,0.6026605053046046,0.6006155672096679,0.6026605053046046,0.6006155672096679,0.0,0.29993144734683114,0.9906895986000219
AraBERTv2,Understandability,10,42,0.6026605053046046,0.6006155672096679,0.5962758394400087,0.5943636969451154,0.006251870264552539,0.10036772810870176,0.5326205840533742
AraBERTv2,Understandability,10,43,0.6026605053046046,0.6006155672096679,0.5974516023187137,0.5951956743045898,0.005419892905078161,0.10003352134141738,0.5308842830580772
AraBERTv2,Understandability,10,44,0.6026605053046046,0.6006155672096679,0.5965492726676146,0.5943527324750352,0.006262834734632738,0.1000456011040903,0.5307612381056546
AraBERTv2,Understandability,10,45,0.6026605053046046,0.6006155672096679,0.596385212731051,0.5940288872880459,0.006586679921621985,0.09954026436560609,0.5274390243902439
AraBERTv2,Understandability,10,46,0.6026605053046046,0.6006155672096679,0.5979027671442634,0.5955143519647328,0.00510121524493512,0.09991876359602456,0.5304194465711474
AraBERTv2,Understandability,20,42,0.6026605053046046,0.6006155672096679,0.5903970250464836,0.5881618576870075,0.01245370952266045,0.19977813502557387,0.7758804549928907
AraBERTv2,Understandability,20,43,0.6026605053046046,0.6006155672096679,0.5904380400306245,0.5881655176226386,0.012450049587029333,0.20030964458318276,0.7785874439461884
AraBERTv2,Understandability,20,44,0.6026605053046046,0.6006155672096679,0.5893989937657224,0.5870713956373665,0.013544171572301367,0.19997443116900895,0.776878486273652
AraBERTv2,Understandability,20,45,0.6026605053046046,0.6006155672096679,0.5912036530679208,0.5888085710622564,0.011806996147411541,0.19984558036716438,0.7762769331729191
AraBERTv2,Understandability,20,46,0.6026605053046046,0.6006155672096679,0.590410696707864,0.587998874333838,0.012616692875829894,0.19984960695472204,0.7765093514163841
AraBERTv2,Understandability,30,42,0.6026605053046046,0.6006155672096679,0.5855572569178606,0.5834827204596685,0.017132846749999375,0.3001267368433768,0.8959039702504649
AraBERTv2,Understandability,30,43,0.6026605053046046,0.6006155672096679,0.5841900907798315,0.5822442989314658,0.018371268278202124,0.30008244438024273,0.8963414634146342
AraBERTv2,Understandability,30,44,0.6026605053046046,0.6006155672096679,0.5842447774253527,0.5821729204986056,0.018442646711062327,0.2997774303727513,0.8959860002187466
AraBERTv2,Understandability,30,45,0.6026605053046046,0.6006155672096679,0.5849557038171278,0.5826603246739076,0.017955242535760307,0.3001166703744827,0.897134419774691
AraBERTv2,Understandability,30,46,0.6026605053046046,0.6006155672096679,0.5860357650661708,0.5835628240081497,0.017052743201518172,0.29996265340040285,0.8964234933829159
CAMeLBERT-Mix,Textual Accuracy,10,42,0.615648583615881,0.6133428783671931,0.5873209012359182,0.5833455136246393,0.029997364742553878,0.10009924788529696,0.726361697473477
CAMeLBERT-Mix,Textual Accuracy,10,43,0.615648583615881,0.6133428783671931,0.585666630208903,0.5817281453975326,0.03161473296966055,0.09993130786787319,0.7257054577272231
CAMeLBERT-Mix,Textual Accuracy,10,44,0.615648583615881,0.6133428783671931,0.5862271683254949,0.5823824164716794,0.030960461895513713,0.09973887659790845,0.7241742316526304
CAMeLBERT-Mix,Textual Accuracy,10,45,0.615648583615881,0.6133428783671931,0.5867603631193262,0.5827963050941432,0.030546573273049993,0.09991847911654221,0.7258285026796456
CAMeLBERT-Mix,Textual Accuracy,10,46,0.615648583615881,0.6133428783671931,0.5877720660614678,0.5840167790960875,0.029326099271105632,0.10009691538505497,0.727537460352182
CAMeLBERT-Mix,Textual Accuracy,20,42,0.615648583615881,0.6133428783671931,0.5570108279558131,0.5515194893206081,0.06182338904658502,0.19995241699506328,0.9278819862189653
CAMeLBERT-Mix,Textual Accuracy,20,43,0.615648583615881,0.6133428783671931,0.5559170950453899,0.5506248298424455,0.0627180485247476,0.19993025824276428,0.9292628240183747
CAMeLBERT-Mix,Textual Accuracy,20,44,0.615648583615881,0.6133428783671931,0.5553702285901783,0.5500685981105174,0.0632742802566757,0.19982646198199544,0.9285792409493602
CAMeLBERT-Mix,Textual Accuracy,20,45,0.615648583615881,0.6133428783671931,0.557708082686208,0.5525563236645648,0.06078655470262839,0.20011335951176104,0.9270616865361478
